rid,proc1,proc2,proc3,proc4,proc5,w1commitnum,w1commithrs,w1commitoverw,w1freetime,w3tsq8,w1tsq13,w1tsq14,gendermale,genderfemal,pro_sum,gender
166643791,1.0,1.0,4.0,1.0,1.0,6.0,21.0,3.0,2.0,2.0,5.0,4.0,0.0,1.0,8.0,Female
166647306,3.0,3.0,4.0,2.0,3.0,16.0,4.0,3.0,3.0,4.0,5.0,3.0,1.0,0.0,15.0,Male
166649099,3.0,3.0,4.0,2.0,2.0,2.0,5.0,2.0,3.0,5.0,6.0,3.0,0.0,1.0,14.0,Female
166650143,5.0,5.0,5.0,5.0,5.0,5.0,80.0,3.0,2.0,1.0,7.0,6.0,0.0,1.0,25.0,Female
166651483,2.0,2.0,4.0,2.0,2.0,3.0,10.0,4.0,2.0,5.0,7.0,4.0,0.0,1.0,12.0,Female
166652389,2.0,2.0,4.0,3.0,2.0,5.0,20.0,5.0,2.0,5.0,7.0,4.0,0.0,1.0,13.0,Female
166652909,2.0,2.0,3.0,2.0,1.0,4.0,9.0,3.0,2.0,5.0,6.0,6.0,0.0,1.0,10.0,Female
166653682,2.0,2.0,5.0,2.0,1.0,3.0,50.0,4.0,2.0,7.0,7.0,5.0,0.0,1.0,12.0,Female
166655198,2.0,2.0,5.0,4.0,2.0,3.0,32.0,4.0,2.0,3.0,7.0,3.0,0.0,1.0,15.0,Female
166656825,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,6.0,7.0,6.0,0.0,1.0,15.0,Female
166660807,3.0,2.0,3.0,3.0,3.0,3.0,20.0,4.0,2.0,5.0,5.0,7.0,0.0,1.0,14.0,Female
166661099,3.0,3.0,3.0,4.0,4.0,9.0,54.0,4.0,3.0,2.0,3.0,5.0,0.0,1.0,17.0,Female
166665189,1.0,2.0,4.0,1.0,1.0,4.0,25.0,2.0,3.0,6.0,6.0,4.0,0.0,1.0,9.0,Female
166667423,2.0,1.0,1.0,1.0,1.0,3.0,7.0,1.0,4.0,4.0,3.0,3.0,0.0,1.0,6.0,Female
166667477,2.0,3.0,4.0,2.0,2.0,4.0,20.0,3.0,3.0,5.0,6.0,4.0,0.0,1.0,13.0,Female
166670269,2.0,2.0,3.0,2.0,2.0,5.0,20.0,4.0,2.0,6.0,6.0,4.0,0.0,1.0,11.0,Female
